"recipient","donor","crs.year","crs.value","publisher","iati.value","iati.year","value","publishing.to.iati","donor.or.publisher"
"Bangladesh","World Bank Group, Total",2018,1564580021,"worldbank",1778183270,2019,1778183270,1,"World Bank Group, Total"
"Bangladesh","Japan",2018,1297706100,,,,1297706100,0,"Japan"
"Bangladesh","Asian Development Bank, Total",2018,490193670,"asdb",1286084782.73,2019,1286084782.73,1,"Asian Development Bank, Total"
"Bangladesh","United States",2018,327496700,"unitedstates",100141267.75,2017,327496700,1,"United States"
"Bangladesh","United Kingdom",2018,255379207,"dfid",290717823.1438,2019,290717823.1438,1,"United Kingdom"
"Bangladesh","WFP",2018,11555230,"wfp",187832827,2019,187832827,1,"WFP"
"Bangladesh","IFRCRCS",,,"icrc",176402455.82584,2018,176402455.82584,1,"IFRCRCS"
"Bangladesh","EU Institutions",2018,168623004,"ec-devco",137498683.467621,2018,168623004,1,"EU Institutions"
"Bangladesh","UNHCR",,,"unhcr",159895164.72,2018,159895164.72,1,"UNHCR"
"Bangladesh","UNICEF",2018,25184505,"unicef",159019488,2019,159019488,1,"UNICEF"
"Bangladesh","Germany",2018,118816300,"bmz",116884495.37363,2018,118816300,1,"Germany"
"Bangladesh","Kuwait",2018,92922085,,,,92922085,0,"Kuwait"
"Bangladesh","Canada",2018,89279169,"gac-amc",86127728.6919559,2018,89279169,1,"Canada"
"Bangladesh","Australia",2018,54738266,"ausgov",81357436.557,2019,81357436.557,1,"Australia"
"Bangladesh","Korea",2018,78379865,"odakorea",68095060.704,2019,78379865,1,"Korea"
"Benin","World Bank Group, Total",2018,110506632,"worldbank",206383777,2019,206383777,1,"World Bank Group, Total"
"Benin","United States",2018,58130010,"unitedstates",95439358.12,2017,95439358.12,1,"United States"
"Benin","EU Institutions",2018,94445625,"ec-devco",82609351.395755,2018,94445625,1,"EU Institutions"
"Benin","Germany",2018,42104269,"bmz",72115098.71588,2019,72115098.71588,1,"Germany"
"Benin","France",2018,51270120,"afd",40902024.029642,2017,51270120,1,"France"
"Benin","Global Fund",2018,23341513,"theglobalfund",51241883.9500001,2017,51241883.9500001,1,"Global Fund"
"Benin","International Monetary Fund, Total",2018,45070577,,,,45070577,0,"International Monetary Fund, Total"
"Benin","African Development Bank, Total",2018,32161073,"afdb",25873650.329463,2017,32161073,1,"African Development Bank, Total"
"Benin","Netherlands",2018,26333448,"minbuza_nl",31789198.7296,2017,31789198.7296,1,"Netherlands"
"Benin","Switzerland",2018,28402907,"sdc_ch",22295327.5114,2018,28402907,1,"Switzerland"
"Benin","Belgium",2018,27683550,"be-dgd",18379521.008455,2018,27683550,1,"Belgium"
"Benin","Canada",2018,18195940,"gac-amc",13933157.0432065,2019,18195940,1,"Canada"
"Benin","UNICEF",2018,7145199,"unicef",17134908,2017,17134908,1,"UNICEF"
"Benin","Global Alliance for Vaccines and Immunization [GAVI]",2018,11322580,"gavi",14655590,2018,14655590,1,"Global Alliance for Vaccines and Immunization [GAVI]"
"Benin","Japan",2018,14262311,,,,14262311,0,"Japan"
"Burkina Faso","World Bank Group, Total",2018,328898282,"worldbank",374273978,2018,374273978,1,"World Bank Group, Total"
"Burkina Faso","EU Institutions",2018,196778874,"ec-devco",180089327.085106,2018,196778874,1,"EU Institutions"
"Burkina Faso","France",2018,106383346,"afd",110796594.265758,2017,110796594.265758,1,"France"
"Burkina Faso","Germany",2018,54392130,"bmz",81515798.290663,2019,81515798.290663,1,"Germany"
"Burkina Faso","United States",2018,65160090,"unitedstates",58095428.67,2017,65160090,1,"United States"
"Burkina Faso","WFP",2018,7877162,"wfp",53763171,2019,53763171,1,"WFP"
"Burkina Faso","UNICEF",2018,17826378,"unicef",51100512,2019,51100512,1,"UNICEF"
"Burkina Faso","Global Fund",2018,48531387,"theglobalfund",49735123.72,2019,49735123.72,1,"Global Fund"
"Burkina Faso","Canada",2018,43939393,"gac-amc",39063243.471455,2018,43939393,1,"Canada"
