"publisher","year","value"
"_path_",2019,5096897.337603
"aab",2019,1358363.6187
"aadk",2019,1163227.0312
"aag",2019,811673.3548
"aai",2019,306400.3821
"aaik",2019,1279721.051277
"aar",2019,2153361.5010841
"aauk",2019,9006606.029729
"ablechildafrica",2019,146609.404184
"acceleratornepal",2019,127424.6689
"acet",2019,2319317.996
"acf",2019,55477140.402166
"acumen",2019,725204.421
"addinternational",2019,316931.52251
"adrauk",2019,101943.514777
"aecid",2019,162782446.32529
"aecom",2019,977542.722953
"afd",2019,4854055798.15714
"afdb",2019,2271558846.49586
"afewinternational",2019,1512009.87575
"afghanaid",2019,1001373.92947108
"agdevco",2019,4693869.09
"ageintl",2019,1980174.8593
"agencia_do_zambeze",2019,3897408.510347
"ai_1064413",2019,159813.667306
"aias",2019,1538593.686443
"aics",2019,390478559.284561
"aidenvironment",2019,188544.275964
"akfuk73",2019,13308237.5934
"akvo",2019,1543053.718701
"alab",2019,87957.626552
"alliance_of_religions_and_conservation",2019,73077.658975
"amrefeth",2019,446418.7728
"amrefha",2019,7989063.487186
"amrefkenya",2019,190437.3284
"amrefmw",2019,202744.696209
"amrefnl",2019,6813028.39855
"appro-af",2019,1481
"apt",2019,626902.159969
"arcfge",2019,4499622.62
"asdb",2019,13674055133.91
"asi",2019,8898453.206069
"asil",2019,641420.136431
"atmf",2019,1713433.9299
"atnf",2019,1826521.1151
"ausgov",2019,3386382636.6693
"ava_admin",2019,698261.632077
"awdf",2019,6987110.92013
"baag",2019,105191.721866
"bawacecy-tz",2019,59782.758076
"bbcmediaaction",2019,28707.8134
"be-dgd",2019,1423242389.76343
"beesfordevelopment",2019,26647.398055
"beis",2019,817700156.45957
"bitc",2019,74930.1304
"bmz",2019,12059624439.4219
"bond",2019,449941.67058
"bothends",2019,18353930.8032
"britishcouncil",2019,4237867.279282
"buildafrica",2019,259662.084304
"bvf",2019,63876.341427
"bwh",2019,50124
"cafod",2019,19585213.738665
"caid",2019,57607571.6453879
"cal",2019,67408571.758952
"camfed",2019,16792866.6227
"carbontrustadvisory",2019,1682745.06776278
"cardnoem",2019,2403859.503841
"carenederland",2019,13876003.8252
"caribank",2019,108205.59
"caritas_denmark",2019,5989909.883818
"cbm",2019,121296.752444
"cerf",2019,533769274
"cfyas",2019,957317.737739
"chai",2019,11795205.7367
"chanceforchildhood",2019,234460.6758
