"recipient","publisher","iati.value","iati.year"
"Bangladesh","worldbank",1778183270,2019
"Bangladesh","asdb",1286084782.73,2019
"Bangladesh","dfid",290717823.1438,2019
"Bangladesh","wfp",187832827,2019
"Bangladesh","ifrcrcs",176402455.82584,2018
"Bangladesh","unhcr",159895164.72,2018
"Bangladesh","ec-devco",137498683.467621,2018
"Bangladesh","bmz",116884495.37363,2018
"Bangladesh","unitedstates",100141267.75,2017
"Bangladesh","gac-amc",86127728.6919559,2018
"Bangladesh","ausgov",81357436.557,2019
"Bangladesh","gavi",76645188,2017
"Bangladesh","odakorea",68095060.704,2019
"Bangladesh","undp",56491628,2019
"Bangladesh","wvi",55443082,2018
"Benin","worldbank",206383777,2019
"Benin","unitedstates",95439358.12,2017
"Benin","ec-devco",82609351.395755,2018
"Benin","bmz",72115098.71588,2019
"Benin","afd",40902024.029642,2017
"Benin","minbuza_nl",31789198.7296,2017
"Benin","afdb",25873650.329463,2017
"Benin","sdc_ch",22295327.5114,2018
"Benin","millenniumchallenge",19483612.59,2018
"Benin","be-dgd",18379521.008455,2018
"Benin","gavi",14655590,2018
"Benin","gac-amc",13933157.0432065,2019
"Benin","undp",13862193,2019
"Benin","wfp",9381069,2019
"Benin","who",8835575.18,2017
"Burkina Faso","worldbank",374273978,2018
"Burkina Faso","ec-devco",180089327.085106,2018
"Burkina Faso","afd",110796594.265758,2017
"Burkina Faso","bmz",81515798.290663,2019
"Burkina Faso","unitedstates",58095428.67,2017
"Burkina Faso","wfp",53754642,2019
"Burkina Faso","gac-amc",39063243.471455,2018
"Burkina Faso","danida",38060744.195232,2018
"Burkina Faso","sida",27820026.133417,2019
"Burkina Faso","gavi",26981992,2018
"Burkina Faso","afdb",20167100.932776,2017
"Burkina Faso","sdc_ch",19706950.0016,2018
"Burkina Faso","unhcr",16883364.26,2017
"Burkina Faso","ifad",15486409.69873,2019
"Burkina Faso","undp",14923502,2019
"Burundi","worldbank",94269279,2019
"Burundi","ec-devco",69606628.265854,2019
"Burundi","unitedstates",50679495.01,2017
"Burundi","undp",49753417,2019
"Burundi","wfp",38501477,2018
"Burundi","minbuza_nl",37097327.75,2018
"Burundi","gavi",33709619,2018
"Burundi","unhcr",27317311.18,2018
"Burundi","be-dgd",26972911.7611,2018
"Burundi","wvi",19878579,2018
"Burundi","ifad",17769423.501182,2017
"Burundi","unpf",15843650.5583,2017
"Burundi","icrc",11724020.125834,2018
"Burundi","fo_germany",11520511.314125,2019
"Burundi","afdb",11326188.874,2019
"Colombia","worldbank",1426817091,2018
"Colombia","iadb",1023536950,2019
"Colombia","unitedstates",322530304.300001,2018
"Colombia","bmz",240040667.528715,2018
"Colombia","undp",92242440,2018
"Colombia","wfp",72191054,2019
"Colombia","unpf",59745392.343,2017
"Colombia","ec-devco",57603707.32757,2018
"Colombia","norad",52624580.1744,2017
"Colombia","gac-amc",38754490.2749895,2017
"Colombia","fao",35112046.9,2018
"Colombia","sida",34323477.572226,2017
"Colombia","fo_germany",30211886.7487715,2019
"Colombia","fco",30086561.82493,2018
"Colombia","icrc",29090328.583296,2018
"Congo","afdb",113799761.304922,2019
"Congo","afd",85700685.85381,2018
"Congo","worldbank",55431284,2019
"Congo","ec-devco",21243154.931555,2018
"Congo","wfp",17783572,2019
"Congo","unhcr",12211981.54,2017
"Congo","pin",11677850.360262,2019
"Congo","unitedstates",8527392.36,2018
"Congo","who",5924178.84,2017
"Congo","cerf",4371548,2017
"Congo","undp",3567808,2019
"Congo","irishaid",3387900,2017
"Congo","danida",2266500,2019
"Congo","unfpa",2075885.33,2019
"Congo","fao",2031095.28,2017
"Democratic Republic of the Congo","unitedstates",527036113.56,2019
"Democratic Republic of the Congo","worldbank",423287305,2019
"Democratic Republic of the Congo","who",284342327.35,2019
"Democratic Republic of the Congo","dfid",268010340.8924,2018
"Democratic Republic of the Congo","wfp",258769456,2019
"Democratic Republic of the Congo","bmz",210389457.898532,2019
"Democratic Republic of the Congo","ec-devco",168777365.9755,2018
"Democratic Republic of the Congo","ifrcrcs",110719595.385236,2018
"Democratic Republic of the Congo","undp",103618356,2019
"Democratic Republic of the Congo","unhcr",91895126.6,2018
"Democratic Republic of the Congo","fo_germany",91150838.6630874,2019
"Democratic Republic of the Congo","gavi",90086506,2017
"Democratic Republic of the Congo","icrc",79820398.824436,2018
"Democratic Republic of the Congo","sida",79297816.361698,2018
"Democratic Republic of the Congo","be-dgd",78839865.983245,2018
"Dominican Republic","iadb",464076655,2019
"Dominican Republic","unitedstates",64836016.41,2017
"Dominican Republic","worldbank",55227289,2019
"Dominican Republic","undp",42746445,2019
"Dominican Republic","afd",41390420.3735,2017
"Dominican Republic","ec-devco",31979899.18156,2019
"Dominican Republic","ofid",21786390.79,2018
"Dominican Republic","bmz",12222736.990354,2019
"Dominican Republic","ifad",8398536.384193,2017
"Dominican Republic","wvi",7501862,2018
"Dominican Republic","ifrcrcs",4284849.941595,2017
"Dominican Republic","aecid",3013510.55356,2018
"Dominican Republic","who",2478683,2019
"Dominican Republic","globalgiving",2316810,2019
"Dominican Republic","wfp",2222331,2019
"Ghana","self-help-africa",1415849965.3056,2019
"Ghana","worldbank",358280422,2017
"Ghana","unitedstates",200547760.08,2017
"Ghana","bmz",78620113.031042,2019
"Ghana","ec-devco",72796346.9418,2018
"Ghana","afdb",70487696.919342,2017
"Ghana","gac-amc",66480255.4053927,2018
"Ghana","dfid",64796809.1056,2017
"Ghana","danida",40796898.775776,2018
"Ghana","gavi",34758022,2018
"Ghana","millenniumchallenge",30511251.72,2019
"Ghana","afd",24142520.496072,2019
"Ghana","minbuza_nl",19775305.5574,2017
"Ghana","wvi",15555138,2017
"Ghana","who",10038840.87,2019
"Guinea","worldbank",133300789,2019
"Guinea","ec-devco",87412020.7857101,2018
"Guinea","unitedstates",61872347.75,2017
"Guinea","who",52137386.29,2017
"Guinea","afd",38731954.840502,2019
"Guinea","bmz",37166931.651805,2018
"Guinea","undp",19122699,2019
"Guinea","unpf",14343938.2888,2017
"Guinea","gavi",13171014,2017
"Guinea","wfp",9321050,2019
"Guinea","be-dgd",8716084.62442,2018
"Guinea","afdb",8159586.453741,2017
"Guinea","ofid",5970468.4,2017
"Guinea","unfpa",5630956.89,2019
"Guinea","ifad",5608406.274642,2019
"Honduras","iadb",311609233,2018
"Honduras","unitedstates",166564710.33,2018
"Honduras","eib",73447706.76,2019
"Honduras","ec-devco",61229059.7592,2018
"Honduras","bmz",50285923.955025,2019
"Honduras","unops",27680424,2019
"Honduras","worldbank",23883459,2017
"Honduras","wfp",21300820,2018
"Honduras","gac-amc",19867926.6690473,2018
"Honduras","wvi",18908874,2018
"Honduras","undp",16718538,2017
"Honduras","sdc_ch",14673478.6262,2018
"Honduras","ofid",10739967.4,2017
"Honduras","aecid",9782399.48052,2018
"Honduras","fomin",8043765,2018
"Indonesia","asdb",1830503175.62,2018
"Indonesia","worldbank",1648504477,2019
"Indonesia","ausgov",293352420.8331,2019
"Indonesia","millenniumchallenge",177775588.72,2017
"Indonesia","unitedstates",174942536.93,2017
"Indonesia","ifrcrcs",84157329.482156,2018
"Indonesia","bmz",71830041.67251,2019
"Indonesia","gavi",35290409,2017
"Indonesia","norad",33269134.4498,2019
"Indonesia","undp",27000801,2018
"Indonesia","ec-devco",23543372.047858,2017
"Indonesia","who",23120218.64,2017
"Indonesia","dfid",22732922.2464,2018
"Indonesia","gac-amc",19797188.8476564,2018
"Indonesia","minbuza_nl",17809726.1577,2017
"Lebanon","unhcr",325817027.67,2017
"Lebanon","wfp",319675482,2019
"Lebanon","bmz",294159147.728314,2019
"Lebanon","worldbank",201825597,2017
"Lebanon","ec-devco",188886013.782571,2018
"Lebanon","dfid",150234731.8869,2019
"Lebanon","unitedstates",132195094.44,2017
"Lebanon","minbuza_nl",82418546.5065,2018
"Lebanon","wvi",74171149,2017
"Lebanon","gac-amc",68035072.1712102,2018
"Lebanon","afd",64597556.089,2019
"Lebanon","norad",64466179.194,2018
"Lebanon","undp",64048551,2019
"Lebanon","unpf",53386825.525,2017
"Lebanon","icrc",45308613.667988,2018
"Liberia","unitedstates",197999700.15,2017
"Liberia","bmz",82211369.3,2018
"Liberia","worldbank",58325677,2018
"Liberia","millenniumchallenge",58038413.74,2017
"Liberia","ec-devco",41716123.469157,2017
"Liberia","who",41070910.72,2017
"Liberia","sida",39265943.539972,2018
"Liberia","undp",23199252,2018
"Liberia","norad",17404073.5401,2017
"Liberia","afdb",14474480.823418,2019
"Liberia","wfp",12633420,2017
"Liberia","afd",11815000,2018
"Liberia","unpf",10521785.4071,2017
"Liberia","dfid",10372788.9591,2019
"Liberia","unhcr",9818854.67,2017
"Madagascar","worldbank",208412198,2019
"Madagascar","afd",81294864.473328,2019
"Madagascar","unitedstates",75109161.27,2019
"Madagascar","ec-devco",66803309.260425,2017
"Madagascar","bmz",46762632.939968,2019
"Madagascar","unpf",42944200.2761,2017
"Madagascar","wfp",38695682,2017
"Madagascar","afdb",31955841.338049,2017
"Madagascar","ifrcrcs",30510155.14176,2017
"Madagascar","undp",19855872,2019
"Madagascar","who",18364054.54,2017
"Madagascar","gavi",18007477,2018
"Madagascar","ifad",16140619.179678,2019
"Madagascar","eib",15178696.5,2019
"Madagascar","cerf",10960423,2017
"Malawi","worldbank",297503371,2017
"Malawi","unitedstates",294655326.2,2018
"Malawi","wfp",153140569,2017
"Malawi","bmz",132847344.450942,2019
"Malawi","millenniumchallenge",127197326.78,2018
"Malawi","ec-devco",103310916.127656,2017
"Malawi","dfid",99758029.0113,2017
"Malawi","wvi",73912592,2017
"Malawi","norad",58457759.574,2018
"Malawi","unpf",50612585.9015,2017
"Malawi","undp",44526533,2017
"Malawi","afdb",33036917.481291,2017
"Malawi","irishaid",24783504.57017,2018
"Malawi","gavi",24317677,2018
"Malawi","ofid",18549827.66,2018
"Mali","worldbank",367429069,2019
"Mali","ec-devco",195504137.643881,2018
"Mali","unitedstates",181757626.29,2017
"Mali","afd",117694987.47818,2018
"Mali","bmz",114364935.553374,2019
"Mali","gac-amc",86667450.9281698,2017
"Mali","wfp",83659829,2018
"Mali","minbuza_nl",50169160.19,2018
"Mali","sida",45902289.205301,2018
"Mali","icrc",45630028.434046,2018
"Mali","unops",45297794,2019
"Mali","fo_germany",42202561.6754982,2019
"Mali","danida",41672392.322762,2019
"Mali","afdb",40604286.523959,2017
"Mali","undp",35439709,2017
"Moldova","ec-devco",107943523.405308,2017
"Moldova","worldbank",43802421,2018
"Moldova","unitedstates",36032509.8,2018
"Moldova","undp",18695738,2018
